,ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
9267,9268,1,2,4,2,145,3,2,0,7,5823,0
8138,8139,0,2,3,4,263,3,2,0,2,5741,1
1034,1035,0,2,3,3,208,3,2,1,61,3783,1
10815,10816,1,1,3,2,216,2,1,0,1,4350,1
4237,4238,4,1,2,1,137,3,1,1,1,4539,0
3458,3459,0,2,4,1,170,2,2,0,5,5182,0
10651,10652,4,2,3,4,222,3,1,1,6,5819,0
906,907,3,2,2,5,113,5,1,1,43,1638,1
6706,6707,2,1,3,1,182,3,1,1,2,5760,0
7579,7580,4,2,6,3,183,4,2,1,3,4842,0
6920,6921,0,2,6,3,245,4,1,1,10,1798,0
9240,9241,3,2,4,4,246,3,1,1,9,5041,0
7044,7045,3,2,3,2,164,2,2,1,3,4442,1
7130,7131,0,0,4,3,169,6,2,1,3,5957,1
2286,2287,3,2,5,4,234,2,0,0,61,3084,1
10953,10954,1,1,4,1,245,5,1,1,3,1496,1
4367,4368,4,1,5,1,215,2,1,1,3,4700,0
10903,10904,4,2,3,5,241,4,1,0,9,5526,1
7411,7412,4,0,4,3,235,5,1,0,4,1839,1
10220,10221,0,2,4,3,245,5,1,1,7,1182,0
2534,2535,0,2,4,3,261,3,1,0,6,2787,1
3424,3425,2,0,3,4,148,2,1,0,5,4693,1
5137,5138,4,2,3,5,180,2,2,1,1,5940,1
6498,6499,3,2,6,1,298,4,1,0,1,1735,1
10284,10285,3,0,4,4,148,3,1,1,4,5716,1
3574,3575,2,0,3,3,149,3,2,0,3,4189,0
8873,8874,4,2,7,1,307,4,1,1,2,1983,0
1901,1902,4,1,5,2,195,6,1,1,38,1338,1
6682,6683,2,2,5,4,245,3,0,1,4,4298,0
3265,3266,4,1,4,2,227,3,1,1,2,4318,1
1569,1570,1,2,5,1,129,5,2,1,35,1458,1
10857,10858,1,2,3,4,231,6,2,0,3,5910,1
347,348,4,2,5,3,186,2,2,0,58,2259,1
1242,1243,3,0,4,1,250,2,2,1,45,3021,1
420,421,3,0,3,1,184,5,2,0,58,2544,1
8332,8333,2,1,6,3,246,4,2,0,8,1741,0
6054,6055,3,2,4,4,202,3,1,0,3,5524,1
9417,9418,1,2,6,3,286,4,2,1,4,1169,0
8778,8779,3,0,5,3,280,6,0,1,5,4585,0
7701,7702,1,2,4,3,244,3,1,1,7,4761,0
9605,9606,4,0,5,2,255,2,2,1,9,5609,0
1031,1032,4,2,6,2,103,4,2,1,37,1093,1
5795,5796,4,2,4,5,142,2,2,0,9,5425,1
2968,2969,2,2,4,3,165,3,1,1,4,1484,1
5885,5886,4,1,4,5,231,3,1,0,6,4449,1
3689,3690,4,1,4,3,266,3,1,1,9,5621,1
3026,3027,0,0,3,5,212,2,2,1,56,3547,1
763,764,4,2,3,3,221,2,2,0,26,3120,1
7883,7884,4,2,3,1,189,3,1,0,3,5866,1
4004,4005,0,2,4,3,233,3,2,1,4,5259,0
9751,9752,4,2,4,3,212,3,1,0,1,4518,0
1222,1223,2,1,4,3,217,2,2,1,22,2138,1
9251,9252,4,2,5,5,223,3,2,0,3,4382,0
2134,2135,2,2,4,1,202,2,1,1,40,2327,1
2423,2424,4,2,4,4,226,2,0,1,53,3154,1
2676,2677,3,2,5,3,209,4,2,0,7,2675,1
5912,5913,0,2,5,1,193,4,2,0,10,5280,0
9000,9001,3,2,5,3,150,2,0,0,9,4446,0
7666,7667,2,1,4,5,244,3,1,0,7,4172,0
1575,1576,1,2,4,4,153,3,1,1,13,1402,1
509,510,4,2,5,2,235,3,1,1,14,2984,1
8587,8588,4,2,4,5,239,3,1,1,6,5154,1
3776,3777,0,2,4,4,257,10,2,1,4,4710,0
2304,2305,3,1,5,2,157,2,1,1,58,1654,1
4191,4192,1,2,3,3,272,3,1,1,2,4059,1
3319,3320,4,2,4,4,159,2,2,0,6,5221,0
10575,10576,1,2,4,3,184,3,1,0,5,4712,1
1259,1260,4,2,5,1,144,2,1,0,20,1082,1
4843,4844,4,2,6,5,284,4,2,1,8,5346,1
3002,3003,0,1,3,1,274,3,1,1,4,2087,1
2474,2475,0,0,3,4,212,3,2,0,13,2307,1
711,712,1,2,3,1,202,2,0,0,21,3120,1
7879,7880,4,2,4,3,196,3,1,1,10,4433,1
10052,10053,0,2,4,3,104,5,1,0,6,4617,1
5809,5810,4,2,5,1,179,3,1,0,7,5814,0
7841,7842,4,2,2,2,201,3,0,1,2,4865,1
10354,10355,2,2,3,1,175,3,1,1,6,4695,0
1372,1373,2,0,4,5,150,2,1,0,30,1782,1
712,713,2,2,4,2,201,3,2,0,39,2066,1
6604,6605,2,2,6,3,295,4,1,0,10,1495,0
7080,7081,3,2,3,1,200,4,2,0,9,5193,0
9451,9452,4,0,5,3,228,5,0,1,9,1924,0
4201,4202,4,2,4,4,270,2,1,0,1,5148,1
9759,9760,1,2,4,5,135,3,1,0,6,4557,0
1482,1483,3,1,5,2,264,5,1,0,27,3118,1
3884,3885,0,2,3,4,187,2,2,1,4,5139,1
6199,6200,4,2,5,2,280,4,1,1,8,4539,1
9283,9284,4,2,3,4,185,2,2,1,5,4574,0
1794,1795,3,0,2,2,128,2,1,1,17,1824,1
5118,5119,3,2,5,2,139,4,1,0,9,5070,1
1821,1822,1,2,4,4,226,5,2,0,12,2708,1
9654,9655,3,2,6,3,304,4,1,1,5,1215,1
4111,4112,4,0,3,5,106,2,1,0,3,5615,0
4836,4837,3,2,4,3,206,2,2,0,4,5194,1
10098,10099,3,2,3,2,141,3,1,1,7,4682,0
1741,1742,4,2,3,3,237,3,2,1,47,3625,1
1658,1659,0,0,5,2,240,7,2,0,47,2174,1
212,213,0,2,2,5,127,3,1,1,44,1341,1
5111,5112,4,2,3,3,141,3,1,0,7,4954,1
3079,3080,4,2,3,1,188,2,1,0,14,2074,1
323,324,4,2,3,1,192,2,1,1,33,2818,1
10372,10373,2,2,3,3,257,2,2,1,5,4681,1
1097,1098,4,0,3,2,263,3,1,0,57,2113,1
9726,9727,3,0,6,4,171,5,2,1,9,4376,1
1359,1360,1,1,5,5,263,2,2,1,59,3238,1
334,335,2,2,4,2,220,5,1,1,33,2854,1
4635,4636,1,1,5,2,272,2,1,0,1,5412,0
1613,1614,4,2,4,4,143,8,2,0,39,1345,1
4695,4696,1,2,3,1,230,2,1,0,1,4970,1
792,793,3,2,2,4,121,5,1,1,32,1788,1
233,234,4,2,2,1,222,2,2,1,58,3626,1
4766,4767,0,2,5,4,199,4,2,1,2,4902,1
3771,3772,1,2,2,2,203,4,2,1,10,5764,0
6927,6928,1,2,6,4,283,4,1,0,8,1480,0
6006,6007,3,1,6,3,244,4,1,0,1,1317,1
9636,9637,3,2,4,4,251,5,2,0,2,1329,1
8339,8340,4,1,5,1,291,4,1,0,3,1663,1
5322,5323,3,1,3,3,199,3,1,1,7,5258,1
4999,5000,4,2,3,3,134,3,2,0,8,4950,0
5902,5903,2,0,3,5,162,2,0,1,1,4573,1
2574,2575,3,2,4,1,189,2,2,0,63,3474,1
2413,2414,4,2,4,5,153,3,0,0,3,1347,1
3264,3265,3,1,4,5,216,2,1,1,2,4905,0
8349,8350,1,1,5,3,265,5,1,0,3,1005,1
4113,4114,1,0,5,1,238,2,2,1,5,5441,1
2522,2523,0,2,5,1,216,3,1,1,40,2668,1
871,872,4,2,4,2,208,3,0,1,17,2777,1
3717,3718,1,2,3,5,274,3,1,0,3,5156,0
1263,1264,1,2,5,4,184,3,1,1,9,3332,1
1618,1619,2,1,4,4,203,5,1,1,36,3912,1
5753,5754,4,0,3,4,239,8,0,1,4,4192,0
8278,8279,2,2,3,1,186,2,1,0,1,5054,1
4862,4863,0,2,4,3,223,3,1,0,10,5560,1
8420,8421,0,2,5,3,199,3,1,0,3,4885,1
5711,5712,4,2,4,5,189,3,2,0,3,5193,0
7512,7513,3,1,5,2,268,5,2,0,5,1876,1
1220,1221,0,1,3,2,178,4,2,0,48,1079,1
10293,10294,1,2,2,4,144,2,2,1,5,5867,0
1765,1766,4,1,2,2,148,6,2,0,63,1279,1
7075,7076,4,2,4,3,245,4,2,1,8,5982,1
3873,3874,1,2,4,5,216,3,2,1,1,5167,1
10148,10149,0,0,5,3,243,6,2,0,10,1189,1
7474,7475,2,2,5,4,263,4,1,0,2,1625,0
1513,1514,4,0,3,5,130,5,1,0,27,1891,1
3413,3414,4,1,3,1,188,3,1,1,3,4222,0
6586,6587,2,0,6,4,299,4,2,1,9,1036,1
5763,5764,1,0,5,4,219,5,1,1,5,1867,0
2523,2524,1,2,5,5,133,10,2,1,9,1724,1
3060,3061,3,2,2,4,153,2,2,0,57,1264,1
8458,8459,2,2,4,3,207,3,1,0,7,4220,1
4254,4255,3,0,4,3,244,4,1,1,10,4118,1
6080,6081,0,2,3,1,133,3,2,1,7,4004,1
7484,7485,0,2,5,2,232,5,2,0,10,1916,0
9481,9482,4,2,5,1,234,3,1,0,4,5033,0
2110,2111,2,2,4,5,180,3,1,0,24,1513,1
2375,2376,4,2,3,2,183,3,2,0,25,2023,1
8400,8401,3,2,5,1,150,4,1,0,1,5098,0
3059,3060,4,2,5,5,195,2,1,0,6,3936,1
3694,3695,2,0,3,1,138,3,2,0,7,5534,0
2701,2702,4,2,3,2,132,2,2,1,6,1185,1
10691,10692,4,0,3,4,223,10,1,0,9,4337,0
7676,7677,0,0,7,4,267,4,2,0,9,1378,1
9330,9331,3,0,3,2,154,3,1,0,8,5149,1
8725,8726,4,2,3,2,180,2,2,0,4,4758,1
617,618,4,2,5,3,245,2,2,0,8,3231,1
2576,2577,0,1,3,4,167,3,1,1,14,1420,1
2748,2749,3,0,4,4,178,3,1,0,1,1165,1
9036,9037,3,1,4,1,189,2,2,1,4,4122,0
10095,10096,1,2,4,5,243,3,1,1,9,5263,0
7930,7931,2,1,3,1,242,10,0,1,9,5151,1
9756,9757,3,2,5,1,135,3,1,0,10,5301,1
745,746,4,2,7,5,243,5,2,1,28,1100,1
8491,8492,4,0,3,1,244,3,2,1,6,4062,1
9828,9829,3,2,4,4,262,3,2,1,2,5429,0
6244,6245,2,2,4,2,201,8,2,0,9,5146,0
6922,6923,2,2,4,1,293,3,1,1,8,1326,1
8346,8347,3,1,5,4,260,5,1,1,10,1708,1
9764,9765,0,2,3,5,161,2,1,0,8,5021,0
1336,1337,2,2,3,1,140,4,1,1,27,1184,1
9711,9712,1,1,4,5,217,5,1,0,3,1572,1
2874,2875,3,0,5,2,193,2,1,0,1,2775,1
4441,4442,4,2,6,4,218,6,2,1,1,4625,1
5466,5467,3,1,6,1,282,4,2,1,4,1716,0
6308,6309,0,0,7,5,260,4,1,0,3,1930,1
4448,4449,0,2,5,1,246,2,1,0,4,5461,0
5886,5887,3,0,3,3,262,5,2,0,1,5043,0
7068,7069,3,2,2,3,163,3,1,0,4,4862,0
1313,1314,4,2,2,5,186,2,1,1,17,3896,1
9926,9927,0,2,5,1,233,5,2,0,6,1631,1
10675,10676,4,1,4,3,230,3,0,0,1,5114,1
3912,3913,3,2,4,4,121,5,1,0,8,4233,1
6560,6561,0,1,6,5,269,4,1,0,2,1243,0
2813,2814,4,2,4,4,127,4,0,1,54,1239,1
6624,6625,3,2,3,2,263,3,1,0,3,5303,0
7216,7217,2,2,5,2,246,5,2,0,9,1876,0
5840,5841,0,2,5,2,249,6,1,1,8,5633,0
8282,8283,0,2,3,1,155,3,2,0,7,5709,0
653,654,4,2,3,1,157,2,0,1,19,1898,1
8918,8919,0,0,5,3,241,5,1,0,2,1834,1
2269,2270,4,2,4,1,229,3,2,0,53,3423,1
10021,10022,4,2,4,5,268,2,1,1,2,4721,1
9067,9068,4,2,4,2,184,2,2,0,10,5959,0
5775,5776,1,2,5,2,264,6,2,1,10,1659,1
10430,10431,0,2,4,2,180,3,2,1,6,4417,0
4553,4554,4,2,6,3,244,4,1,0,5,1668,1
8367,8368,1,0,4,3,240,3,1,0,8,4423,0
5434,5435,2,2,4,4,241,3,1,0,8,5206,1
611,612,4,2,4,2,147,2,2,0,20,1387,1
4376,4377,0,1,3,2,244,3,2,1,10,4636,1
2114,2115,0,2,4,1,143,3,2,0,28,1197,1
5076,5077,3,0,3,5,217,3,1,1,9,4306,0
9489,9490,1,2,3,4,266,3,2,1,9,5908,1
9250,9251,2,2,4,2,198,3,2,1,10,5487,1
511,512,4,2,5,2,172,3,2,1,65,1667,1
9099,9100,1,2,6,5,282,4,1,1,5,1364,1
7553,7554,4,2,3,3,168,2,1,0,10,4583,1
7349,7350,4,2,4,4,209,3,2,1,8,5884,1
8109,8110,1,2,4,3,160,2,1,1,5,4522,1
8214,8215,3,1,3,5,172,3,2,0,7,4929,0
5259,5260,1,2,7,5,281,4,1,1,8,1987,1
7217,7218,4,2,7,4,251,5,1,1,3,1433,0
8408,8409,0,2,4,1,269,5,2,1,3,4534,1
3910,3911,2,2,4,5,246,3,2,0,7,4956,0
6360,6361,3,2,4,1,168,2,1,1,3,4665,1
5186,5187,0,1,4,5,234,3,1,1,3,5438,0
2882,2883,0,0,3,1,105,3,1,1,58,1304,1
3107,3108,4,2,3,5,213,2,1,0,39,2857,1
5221,5222,4,0,6,5,256,5,1,1,10,1686,0
5493,5494,1,0,3,5,256,2,2,0,4,5368,1
10899,10900,1,2,2,1,229,3,2,1,9,5075,0
4718,4719,0,2,3,4,225,4,1,0,8,5209,0
7716,7717,3,2,6,2,306,4,1,0,1,1815,1
1109,1110,4,0,4,3,143,2,0,1,39,1727,1
7048,7049,2,2,5,4,222,3,1,1,3,5555,0
6167,6168,4,0,4,3,181,3,1,0,5,5398,1
1038,1039,3,2,4,3,97,2,1,1,26,1598,1
20,21,0,2,3,3,161,2,2,0,38,1521,1
8830,8831,2,2,5,5,239,5,1,1,6,1887,1
6227,6228,4,2,5,1,249,4,2,1,5,1027,1
10574,10575,0,2,3,2,144,4,2,1,8,4867,1
8314,8315,2,2,7,2,281,4,1,0,6,1118,1
934,935,2,1,5,1,253,6,2,1,12,2486,1
4339,4340,4,2,3,2,216,3,1,0,10,4083,0
4393,4394,4,0,3,4,270,2,1,1,4,4681,0
394,395,2,1,3,2,272,2,1,1,33,2321,1
5464,5465,2,1,7,5,283,5,1,1,8,1578,0
1737,1738,1,2,4,1,144,2,0,1,35,1072,1
2165,2166,4,1,3,1,177,2,1,1,38,1099,1
561,562,1,0,2,5,157,6,0,0,17,1764,1
3649,3650,4,2,5,4,266,6,1,0,5,5481,0
1162,1163,2,2,4,2,187,4,2,1,37,2200,1
5174,5175,0,2,5,3,266,3,2,0,4,4195,0
3441,3442,1,0,3,2,242,5,2,1,6,4694,0
9934,9935,2,2,4,4,274,6,1,1,10,1355,1
1527,1528,1,2,5,5,229,2,2,0,59,3844,1
842,843,0,2,4,2,141,3,1,1,34,1619,1
5838,5839,3,2,3,2,133,2,1,0,3,4677,1
58,59,2,2,5,5,141,3,0,1,41,1367,1
6032,6033,0,0,6,3,283,5,2,1,10,1483,0
10889,10890,4,2,5,5,243,2,2,0,5,4709,0
2291,2292,4,2,5,4,192,3,2,1,46,3709,1
6187,6188,4,2,4,2,280,4,1,1,9,5288,1
7331,7332,4,2,4,2,162,4,2,1,7,5294,0
3487,3488,4,2,4,3,249,3,2,0,6,5657,1
9805,9806,4,2,4,5,160,2,2,0,8,5234,0
3902,3903,0,2,5,3,231,3,2,0,2,4735,0
3677,3678,4,1,3,1,180,6,1,1,5,4802,1
5817,5818,1,2,2,1,207,4,1,1,1,5742,0
4671,4672,1,0,4,3,208,2,2,1,6,4276,1
414,415,3,0,2,1,218,2,1,1,15,2745,1
10458,10459,3,2,4,4,255,6,1,0,2,1430,1
7344,7345,3,2,3,4,185,2,1,1,4,5926,0
7630,7631,2,2,4,2,260,2,1,1,7,5684,0
3745,3746,4,2,3,1,205,4,0,0,3,4426,0
5903,5904,4,0,2,4,221,5,2,1,4,4034,1
5581,5582,4,2,5,5,266,2,2,1,7,5712,1
2759,2760,4,2,3,1,206,3,2,1,28,2892,1
8062,8063,2,1,4,3,201,4,2,0,3,4797,0
6407,6408,4,2,3,3,209,3,0,0,2,4036,1
8074,8075,2,1,4,4,199,3,1,0,9,5016,0
5561,5562,4,2,5,5,128,3,1,1,9,5143,1
2133,2134,1,2,3,3,186,3,2,1,49,2356,1
1897,1898,4,1,4,1,226,7,1,1,41,2964,1
10202,10203,0,2,4,5,233,5,1,0,8,1040,1
3952,3953,2,1,3,1,254,4,2,1,9,4571,0
8028,8029,3,2,7,1,290,4,1,1,4,1488,0
10303,10304,4,2,4,2,259,2,0,0,10,5265,0
8546,8547,0,2,2,5,212,2,0,0,3,4389,0
8574,8575,3,2,3,2,155,3,1,1,1,5731,1
6711,6712,1,0,4,4,184,3,1,1,8,4453,1
1817,1818,4,2,4,1,144,4,1,0,63,1881,1
