,GpsProvider,Market/Regular ,vehicle_no,Origin_Location,Destination_Location,Planned_ETA,ontime,OriginLocation_Code,DestinationLocation_Code,trip_start_date,TRANSPORTATION_DISTANCE_IN_KM,vehicleType,customerID,supplierID,Material Shipped,Org_lat,Org_lon,Des_lat,Des_lon
5676,12,0,587,111,36,69,0.0,112,186,64,31.0,34,15,27,504,13.007503209603689,77.66509885593489,13.196312912801169,77.70815692568873
3021,5,0,384,64,339,291,1.0,36,13,262,1900.0,32,7,116,945,22.961777,72.094219,12.786517,79.975221
2433,3,0,1440,125,244,314,0.0,97,112,283,2750.0,32,6,191,298,18.750621,73.87719,26.131293,91.749014
5381,3,0,564,82,36,130,0.0,153,237,117,40.0,34,15,28,640,12.992699792116747,77.80384141110859,13.199089183304451,77.70855423495904
1489,3,0,292,56,339,334,0.0,29,13,303,2425.0,29,7,159,77,28.373519,76.835337,12.786517,79.975221
1551,3,0,1162,125,342,334,0.0,97,50,306,1178.0,32,6,137,285,18.750621,73.87719,27.236458,75.91729
2989,3,0,413,97,277,277,0.0,7,1,250,2543.0,29,25,156,274,12.683589,77.859239,31.045961,76.664373
5333,3,0,1191,73,350,136,0.0,157,219,122,90.0,34,15,60,806,13.167655,80.271159,12.995898,80.173557
2700,3,0,995,54,334,313,1.0,19,397,282,1199.0,32,16,181,274,13.087428,80.184717,18.750621,73.87719
2659,10,0,620,46,246,318,1.0,44,97,287,215.0,3,25,154,253,12.671093,77.779537,12.683589,77.859239
895,3,0,1445,125,244,344,0.0,97,112,313,2750.0,32,6,52,73,18.750621,73.87719,26.131293,91.749014
2903,3,0,1301,125,280,294,0.0,102,16,265,1290.0,29,5,125,570,18.750621,73.87719,12.930429,79.931163
244,3,0,1331,140,84,362,1.0,8,104,330,525.0,20,20,119,446,9.973636,78.281783,12.223062,76.690357
1805,11,0,1225,30,280,335,0.0,101,16,304,1020.0,29,21,125,292,17.638373,74.065262,12.930429,79.931163
5371,3,0,1193,73,360,89,0.0,127,300,81,90.0,34,15,60,466,16.560192249175344,80.79229309159955,12.829465,80.209822
4210,3,0,822,61,376,185,0.0,127,166,168,25.0,34,15,76,77,16.560192249175344,80.79229309159955,18.874262,72.957868
6879,10,0,618,82,8,3,1.0,127,237,2,49.0,34,15,27,806,16.560192249175344,80.79229309159955,13.199089183304451,77.70855423495904
5060,3,0,134,124,388,123,0.0,134,152,109,25.0,34,15,218,927,23.18918,72.552278,23.042185,72.697893
5821,25,0,1488,130,320,37,1.0,113,245,35,201.0,34,15,26,243,23.52526791608896,87.26442434857088,24.19225452704485,87.66445179211226
2038,3,0,1515,39,94,320,1.0,121,327,292,427.0,34,15,200,364,23.542833,87.256858,22.258833,84.679293
4298,3,0,1382,65,62,183,0.0,119,262,166,30.0,34,15,178,77,17.468016283576617,78.21813291539536,17.382422,78.304557
5446,10,0,539,82,267,122,0.0,153,186,109,44.6,34,15,27,185,12.992699792116747,77.80384141110859,13.196312912801169,77.70815692568873
2607,5,0,360,75,142,289,0.0,12,53,260,2240.0,29,7,116,928,12.767195,80.064668,28.373519,76.835337
3664,3,0,1133,42,172,139,0.0,106,267,125,145.0,34,15,38,364,26.19229040350968,91.75127677536251,26.688955,92.688447
2445,3,0,281,54,142,300,0.0,19,53,269,2300.0,30,16,159,77,13.087428,80.184717,28.373519,76.835337
5251,3,0,1376,65,230,136,0.0,151,233,123,48.0,34,15,77,806,17.46628393767336,78.21574685358303,17.235460173235783,78.4271247252794
5756,12,0,1187,82,343,59,0.0,127,279,55,24.7,34,15,28,344,16.560192249175344,80.79229309159955,12.843107191355518,77.5942828776749
5592,12,0,845,61,376,95,0.0,127,338,85,25.0,34,15,74,578,16.560192249175344,80.79229309159955,18.874262,72.957868
5058,3,0,141,23,123,134,0.0,127,128,120,150.0,34,15,218,794,16.560192249175344,80.79229309159955,24.176119,72.449485
5519,3,0,804,61,325,119,0.0,135,188,108,35.0,34,15,73,852,19.031831,73.105454,18.998875,72.854548
5073,3,0,256,134,224,119,0.0,148,191,108,34.0,34,15,78,367,28.215147,77.212834,28.599399,77.02766
3865,3,0,193,124,273,186,0.0,114,224,168,134.0,34,15,92,77,23.18918,72.552278,22.445263,73.146762
3763,3,0,44,47,215,213,0.0,155,255,194,117.0,34,15,54,790,16.5094,80.82117,16.823398,80.074446
4213,3,0,244,95,282,135,0.0,106,182,122,25.0,36,15,78,649,26.19229040350968,91.75127677536251,28.624814,77.21377
4958,3,0,252,95,6,104,0.0,106,361,94,29.0,34,15,78,466,26.19229040350968,91.75127677536251,28.578231,77.04961
5243,3,0,1374,65,182,125,0.0,151,364,111,70.0,34,15,218,806,17.46628393767336,78.21574685358303,17.580422,78.207737
1633,3,0,1337,87,211,342,1.0,27,98,311,400.0,8,0,118,751,11.154594,76.922532,12.746894,77.806168
3186,3,0,1480,67,107,252,0.0,106,287,228,221.0,34,15,38,42,26.19229040350968,91.75127677536251,23.081873,87.03741
2021,3,0,436,106,28,329,0.0,21,37,298,2400.0,30,2,192,285,12.425747,79.880083,30.000345,76.732209
2248,3,0,1129,4,106,288,0.0,41,36,261,2681.0,9,18,218,77,12.722686,77.676518,32.11912,76.537263
1716,11,0,1219,54,334,337,0.0,18,380,306,1199.0,29,2,125,443,13.087428,80.184717,18.750621,73.87719
5406,3,0,564,82,294,129,0.0,153,279,116,24.6,34,15,28,664,12.992699792116747,77.80384141110859,12.843107191355518,77.5942828776749
4646,3,0,129,61,191,166,0.0,115,116,151,35.0,34,15,76,675,19.02709462686757,73.10997650403301,19.230592,72.866317
132,3,0,1449,125,244,355,0.0,97,112,322,2750.0,32,6,48,329,18.750621,73.87719,26.131293,91.749014
5182,3,0,1463,113,318,146,0.0,150,298,131,160.0,34,15,95,764,28.658633,77.438643,29.660051,77.724463
2355,3,0,1117,64,339,319,0.0,36,13,288,1900.0,32,7,218,667,22.961777,72.094219,12.786517,79.975221
2103,3,0,313,56,339,326,0.0,29,13,295,2425.0,32,7,159,285,28.373519,76.835337,12.786517,79.975221
3905,3,0,274,95,224,200,0.0,106,191,183,34.0,34,15,78,456,26.19229040350968,91.75127677536251,28.599399,77.02766
3086,11,0,1228,54,334,278,0.0,18,380,251,1199.0,29,2,125,577,13.087428,80.184717,18.750621,73.87719
5492,3,0,1255,73,269,111,0.0,157,231,101,13.8,34,15,60,418,13.167655,80.271159,13.10158,80.257223
4682,3,0,1187,82,42,139,0.0,127,371,126,31.0,34,15,28,364,16.560192249175344,80.79229309159955,12.886756,77.636765
3168,3,0,1510,130,335,276,1.0,113,350,252,600.0,34,15,200,859,23.52526791608896,87.26442434857088,26.53334,88.922228
4973,3,0,239,95,66,111,0.0,106,125,101,25.0,34,15,78,379,26.19229040350968,91.75127677536251,28.4272,77.206024
2499,3,0,1160,125,342,317,0.0,97,50,285,1175.0,14,6,195,285,18.750621,73.87719,27.236458,75.91729
1327,3,0,1198,140,277,345,0.0,8,64,316,2884.0,29,22,157,77,9.973636,78.281783,31.045961,76.664373
4611,3,0,1380,65,182,166,0.0,127,364,151,70.0,34,15,77,764,16.560192249175344,80.79229309159955,17.580422,78.207737
3949,3,0,1091,118,94,150,0.0,120,249,135,30.0,36,15,45,643,22.231627645808018,84.86986841751269,22.223080894364767,84.66622116237794
2027,3,0,5,4,363,330,0.0,41,107,302,667.0,9,18,218,77,12.722686,77.676518,17.603892,78.629944
3902,3,0,237,95,224,200,0.0,106,191,183,34.0,34,15,78,77,26.19229040350968,91.75127677536251,28.599399,77.02766
2503,3,0,714,125,97,313,0.0,97,95,282,900.0,32,6,191,77,18.750621,73.87719,16.184556,80.332451
5566,12,0,1186,73,348,95,0.0,107,234,86,67.4,34,15,60,764,13.167655,80.271159,13.530852,79.996451
3099,14,0,883,125,199,283,0.0,0,6,255,1325.0,32,7,113,916,18.750621,73.87719,12.767195,80.064668
4628,3,0,1368,65,230,136,0.0,151,233,123,48.0,34,15,77,56,17.46628393767336,78.21574685358303,17.235460173235783,78.4271247252794
1457,3,0,315,64,339,342,0.0,35,13,311,1900.0,29,7,159,299,22.961777,72.094219,12.786517,79.975221
3488,3,0,508,32,338,133,0.0,106,205,120,68.0,34,15,88,790,26.19229040350968,91.75127677536251,28.367355,76.985908
3121,3,0,563,82,214,228,0.0,127,200,206,44.0,34,15,28,100,16.560192249175344,80.79229309159955,12.73017358940589,77.95620203691567
2359,3,0,1249,87,211,322,1.0,27,98,291,400.0,39,0,118,928,11.154594,76.922532,12.746894,77.806168
5478,12,0,144,124,388,123,0.0,134,152,110,25.0,34,15,218,267,23.18918,72.552278,23.042185,72.697893
3007,3,0,115,15,125,289,1.0,123,260,261,632.0,23,15,35,299,21.581377,81.945298,23.998917,85.365551
5619,12,0,1084,43,122,78,0.0,138,215,72,30.0,36,15,41,466,20.606146,85.981534,20.739741724979798,86.11676944223885
1714,3,0,406,56,112,330,0.0,29,102,302,2185.0,29,25,156,77,28.373519,76.835337,12.671093,77.779537
3623,3,0,238,95,66,111,0.0,106,125,101,25.0,34,15,78,77,26.19229040350968,91.75127677536251,28.4272,77.206024
1887,3,0,279,56,339,328,0.0,29,13,297,2425.0,29,7,159,636,28.373519,76.835337,12.786517,79.975221
2120,3,0,323,64,339,319,0.0,35,13,288,1900.0,29,7,159,285,22.961777,72.094219,12.786517,79.975221
1007,3,0,1386,125,244,344,0.0,97,112,313,2750.0,32,6,218,285,18.750621,73.87719,26.131293,91.749014
4450,3,0,200,23,123,158,0.0,127,128,142,150.0,34,15,92,364,16.560192249175344,80.79229309159955,24.176119,72.449485
1995,11,0,1222,54,334,330,0.0,18,380,299,1199.0,29,2,125,77,13.087428,80.184717,18.750621,73.87719
5085,3,0,565,82,1,149,0.0,127,279,134,26.9,34,15,28,898,16.560192249175344,80.79229309159955,12.843107191355518,77.5942828776749
5112,3,0,553,82,36,108,0.0,153,237,98,40.0,34,15,27,417,12.992699792116747,77.80384141110859,13.199089183304451,77.70855423495904
5683,12,0,1256,73,302,69,0.0,127,363,64,177.0,36,15,60,194,16.560192249175344,80.79229309159955,11.986938,79.773631
4428,3,0,841,37,161,172,0.0,76,335,154,360.15,36,15,26,56,18.970774,72.808712,21.606548,73.009534
3015,10,0,567,46,246,293,1.0,44,97,264,215.0,40,25,152,285,12.671093,77.779537,12.683589,77.859239
5883,10,0,539,82,70,23,1.0,127,159,22,31.0,34,15,27,470,16.560192249175344,80.79229309159955,12.777874729699617,77.64227553734709
3750,3,0,932,9,322,206,0.0,129,244,187,275.0,34,15,35,77,23.675623,86.096278,24.425289915341807,86.92592012115155
953,3,0,1506,40,164,351,1.0,113,217,321,222.0,34,15,200,77,23.52526791608896,87.26442434857088,22.95210237429815,88.45701479607611
2057,3,0,267,56,339,329,0.0,29,13,298,2425.0,29,7,159,998,28.373519,76.835337,12.786517,79.975221
4685,3,0,1234,73,302,164,0.0,127,377,148,177.0,34,15,60,688,16.560192249175344,80.79229309159955,11.986938,79.773631
4548,3,0,1376,65,182,172,0.0,127,139,156,70.0,34,15,178,723,16.560192249175344,80.79229309159955,17.541369446793933,78.17759040314228
4652,3,0,558,82,70,163,0.0,127,159,148,31.0,36,15,26,664,16.560192249175344,80.79229309159955,12.777874729699617,77.64227553734709
1962,5,0,346,56,339,332,1.0,29,13,301,2425.0,29,7,116,77,28.373519,76.835337,12.786517,79.975221
2654,3,0,314,56,339,312,0.0,29,13,281,2425.0,32,7,159,77,28.373519,76.835337,12.786517,79.975221
5651,12,0,1291,129,260,75,0.0,57,117,70,677.25,22,15,68,519,16.520181,81.48831,12.890556,79.72877
3589,3,0,888,89,39,212,0.0,130,266,193,113.0,34,15,38,77,26.185619636418977,91.84358193219722,26.330421,91.004055
4154,3,0,247,95,251,187,0.0,106,270,170,25.0,34,15,78,285,26.19229040350968,91.75127677536251,28.553908,77.090981
4800,3,0,506,32,338,156,0.0,106,205,141,68.0,34,15,88,320,26.19229040350968,91.75127677536251,28.367355,76.985908
1273,3,0,400,140,56,345,0.0,8,43,316,2553.0,32,22,204,456,9.973636,78.281783,28.288279,76.870148
6867,10,0,591,82,8,9,0.0,127,256,9,49.0,34,15,27,426,16.560192249175344,80.79229309159955,12.722686,77.676518
1280,3,0,1173,101,117,340,0.0,17,384,311,1882.0,9,13,218,77,12.849818,79.913634,26.234817,78.183518
2568,3,0,714,125,97,303,0.0,97,95,273,900.0,32,6,191,77,18.750621,73.87719,16.184556,80.332451
5353,3,0,1186,73,348,132,0.0,107,234,119,65.5,34,15,60,294,13.167655,80.271159,13.530852,79.996451
3851,3,0,1190,73,340,154,0.0,127,275,138,240.0,34,15,60,249,16.560192249175344,80.79229309159955,11.662509,79.7484
73,3,0,1319,87,211,362,1.0,27,98,329,400.0,8,0,118,933,11.154594,76.922532,12.746894,77.806168
3585,3,0,136,23,123,206,0.0,127,192,187,150.0,34,15,218,796,16.560192249175344,80.79229309159955,24.176119,72.449485
1790,0,0,979,56,174,340,1.0,29,87,309,1000.0,29,7,104,77,28.373519,76.835337,22.961777,72.094219
3010,23,0,622,64,199,280,0.0,33,14,253,1900.0,32,7,149,77,22.961777,72.094219,12.767195,80.064668
4109,3,0,1288,136,21,197,1.0,92,303,177,638.4,19,15,10,77,12.829465,80.209822,10.334302,76.240505
1019,3,0,721,125,246,350,1.0,102,97,321,980.0,11,25,127,610,18.750621,73.87719,12.683589,77.859239
5570,12,0,829,61,191,95,0.0,127,116,85,35.0,34,15,76,764,16.560192249175344,80.79229309159955,19.230592,72.866317
5204,3,0,138,23,235,149,0.0,133,246,134,25.0,34,15,92,578,22.917969,72.413979,22.926025,72.484986
3223,3,0,1381,65,368,248,0.0,127,281,225,65.0,34,15,218,77,16.560192249175344,80.79229309159955,17.556417,78.099421
2047,3,0,1283,125,280,318,0.0,102,16,287,1290.0,29,5,164,364,18.750621,73.87719,12.930429,79.931163
4096,3,0,44,47,215,193,0.0,155,255,176,117.0,34,15,54,77,16.5094,80.82117,16.823398,80.074446
3277,3,0,766,83,311,237,0.0,53,321,210,990.0,17,15,218,945,19.178201,72.943314,13.0631,77.590597
4372,3,0,936,20,119,174,0.0,129,167,157,148.0,36,15,35,578,23.67348,86.129379,23.250966,85.241196
3998,3,0,1382,65,62,194,0.0,152,262,177,30.0,34,15,178,77,17.462980542108134,78.21925805967179,17.382422,78.304557
5795,25,0,1056,116,122,41,0.0,145,215,37,339.0,29,15,24,190,22.22038110012015,84.8605717192225,20.739741724979798,86.11676944223885
3754,3,0,1539,130,164,206,0.0,113,217,187,51.0,35,15,218,285,23.52526791608896,87.26442434857088,22.95210237429815,88.45701479607611
1323,3,0,132,98,319,339,0.0,23,89,311,1626.0,32,24,137,285,13.017016,79.481638,22.105618,73.152148
1707,3,0,874,56,339,337,0.0,29,13,306,2425.0,29,7,102,155,28.373519,76.835337,12.786517,79.975221
3145,3,0,1379,65,188,254,0.0,151,282,231,30.0,34,15,77,77,17.46628393767336,78.21574685358303,17.441148,78.391069
5113,3,0,560,82,8,135,0.0,127,159,122,49.0,34,15,28,422,16.560192249175344,80.79229309159955,12.777874729699617,77.64227553734709
2684,5,0,342,56,174,312,0.0,29,87,281,1000.0,29,7,115,77,28.373519,76.835337,22.961777,72.094219
5874,10,0,591,111,36,7,1.0,112,237,7,31.0,34,15,27,506,13.007503209603689,77.66509885593489,13.199089183304451,77.70855423495904
5030,3,0,555,82,8,156,0.0,127,222,141,49.0,34,15,27,361,16.560192249175344,80.79229309159955,12.727803303414186,77.66679240217397
1340,3,0,1385,4,63,337,0.0,41,46,308,1912.0,9,18,218,285,12.722686,77.676518,26.853705,80.94842
3583,3,0,249,134,79,225,0.0,110,362,203,25.0,34,15,78,793,28.215147,77.212834,28.589657,77.254884
3339,3,0,1434,113,318,238,0.0,111,225,214,160.0,34,15,95,77,28.658633,77.438643,29.660051,77.724463
2759,2,0,1209,125,280,307,0.0,102,16,277,1290.0,29,5,128,790,18.750621,73.87719,12.930429,79.931163
1959,3,0,882,130,231,332,1.0,113,315,298,215.0,34,15,36,77,23.52526791608896,87.26442434857088,22.007663,87.983831
2727,5,0,350,64,142,312,1.0,35,53,281,900.0,32,7,115,146,22.961777,72.094219,28.373519,76.835337
5506,3,0,1473,40,164,98,0.0,144,217,89,208.0,35,15,26,77,23.525309955369213,87.264364980245,22.95210237429815,88.45701479607611
4881,3,0,536,111,178,157,0.0,112,307,142,37.2,34,15,27,461,13.007503209603689,77.66509885593489,12.874545,77.430036
5586,12,0,169,23,235,94,0.0,133,246,85,25.0,36,15,33,55,22.917969,72.413979,22.926025,72.484986
1214,5,0,346,56,339,347,0.0,29,13,316,2425.0,29,7,116,624,28.373519,76.835337,12.786517,79.975221
2917,3,0,1451,125,244,285,0.0,97,112,257,2750.0,32,6,191,77,18.750621,73.87719,26.131293,91.749014
4047,3,0,1376,65,62,197,0.0,152,314,180,30.0,34,15,178,785,17.462980542108134,78.21925805967179,17.382422,78.304557
4441,3,0,562,82,167,172,0.0,127,200,156,44.0,34,15,28,835,16.560192249175344,80.79229309159955,12.73017358940589,77.95620203691567
2974,3,0,1150,115,353,260,0.0,128,238,236,374.0,34,15,218,77,26.941377,75.678991,25.178141,73.052334
2271,10,0,567,46,211,328,1.0,44,98,297,215.0,40,4,152,146,12.671093,77.779537,12.746894,77.806168
6878,10,0,589,82,8,1,0.0,127,370,1,49.0,34,15,27,806,16.560192249175344,80.79229309159955,12.896896847817695,77.71222305687486
2286,3,0,1539,130,203,326,1.0,113,323,296,174.0,35,15,37,22,23.52526791608896,87.26442434857088,22.237139,87.923675
5517,12,0,187,124,14,108,0.0,134,246,98,210.0,34,15,33,214,23.18918,72.552278,21.724939,72.886993
1948,3,0,631,111,1,330,1.0,112,279,303,13.1,36,15,26,77,13.007503209603689,77.66509885593489,12.843107191355518,77.5942828776749
2213,3,0,382,125,232,322,0.0,97,63,294,1384.0,32,6,218,782,18.750621,73.87719,28.664116,77.044933
4860,3,0,1412,113,251,119,0.0,147,270,108,59.0,34,15,95,596,28.658633,77.438643,28.553908,77.090981
425,3,0,1394,46,277,355,0.0,44,64,323,2600.0,29,25,136,77,12.671093,77.779537,31.045961,76.664373
3874,3,0,1412,113,318,174,0.0,111,298,157,160.0,34,15,95,784,28.658633,77.438643,29.660051,77.724463
2565,5,0,340,56,174,302,0.0,29,87,272,1000.0,29,7,115,77,28.373519,76.835337,22.961777,72.094219
1454,3,0,1086,24,94,343,0.0,120,327,315,30.0,36,15,41,885,22.231627645808018,84.86986841751269,22.258833,84.679293
1482,3,0,1051,24,94,338,0.0,120,327,310,30.0,36,15,26,669,22.231627645808018,84.86986841751269,22.258833,84.679293
5740,12,0,1081,116,306,59,0.0,120,289,55,30.0,36,15,45,882,22.231627645808018,84.86986841751269,22.197295,84.845064
